root,form,frequency,translation
2C;32;4A,I,73,to reward;to recompense
2C;32;4A,III,1,to recompense
2C;33;33,V,1,to spy
2C;39;44,I,340,to make
2C;41;48,I,1,to forsake
2C;44;28,IV,1,to raise
2C;44;2F,I,2,to flog
2C;44;48,I,2,to reveal
2C;44;48,II,2,to reveal
2C;45;2D,I,1,to run wild
2C;45;39,I,22,to gather;to collect
2C;45;39,IV,4,to resolve;to agree;to put;together
2C;45;39,VIII,2,to gather
2C;46;28,I,1,to keep away
2C;46;28,II,1,to remove from
2C;46;28,V,1,to avoid
2C;46;28,VIII,9,to avoid
2C;46;2D,I,2,to incline
2C;46;46,I,1,to cover
2C;47;2F,III,27,to strive
2C;47;31,I,5,to speak loudly
2C;47;32,II,2,to furnish
2C;47;44,I,5,to be ignorant
2C;48;28,I,1,to carve
2C;48;28,IV,8,to answer;to respond
2C;48;28,X,28,to answer;to respond
2C;48;31,III,1,to be neighbours
2C;48;31,IV,6,to protect
2C;48;31,X,1,to seek protection
2C;48;32,III,4,to cross;to pass beyond
2C;48;32,VI,1,to overlook
2C;48;33,I,1,to enter
2C;48;39,I,1,to be hungry
2C;4A;27,I,278,to come
2D;28;28,II,1,to endear
2D;28;28,IV,64,to love;to like
2D;28;28,X,4,to prefer
2D;28;31,I,2,to delight
2D;28;33,I,2,to detain
2D;28;37,I,12,to become worthless
2D;28;37,IV,4,to make worthless
2D;2C;2C,I,1,to perform pilgrimage;to argue
2D;2C;2C,III,12,to argue
2D;2C;2C,VI,1,to dispute
2D;2F;2B,II,3,to report;to narate
2D;2F;2B,IV,3,to cause;to bring about
2D;2F;2F,I,2,to oppose
2D;2F;2F,III,2,to oppose
2D;30;31,I,12,to fear;to beware
2D;30;31,II,2,to warn
2D;31;28,III,2,to wage war
2D;31;2B,I,1,to sow
2D;31;35,I,3,to desire
2D;31;36,II,2,to urge;to encourage
2D;31;41,II,4,to distort
2D;31;42,II,3,to burn
2D;31;42,VIII,1,to burn
2D;31;43,II,1,to move
2D;31;45,II,39,to forbid;to make unlawful
2D;31;4A,I,1,to seek
2D;32;46,I,37,to grieve
2D;33;28,I,44,to think
2D;33;28,III,3,to take;to account
2D;33;28,VIII,3,to take into account;to expect;to think
2D;33;2F,I,3,to envy
2D;33;31,X,1,to tire
2D;33;33,I,1,to inquire;to kill
2D;33;33,IV,3,to perceive
2D;33;33,V,1,to inquire
2D;33;46,I,3,to be the best;to be good
2D;33;46,IV,21,to do good
2D;34;31,I,37,to gather;to raise
2D;35;2D;35,I,1,to become manifest
2D;35;2F,I,1,to reap
2D;35;31,I,2,to restrain;to besiege
2D;35;31,IV,2,to hold back;to wrap up
2D;35;44,II,1,to make apparent
2D;35;46,IV,5,to guard;to protect
2D;35;4A,IV,10,to count;to calculate;to enumerate
2D;36;31,I,7,to approach;to attend
2D;36;31,IV,3,to bring
2D;36;36,I,2,to feel the urge
2D;36;36,VI,1,to feel the urge
2D;37;45,I,1,to crush
2D;41;38,I,7,to guard;to protect
2D;41;38,III,4,to guard
2D;41;38,X,1,to be entrusted
2D;41;41,I,1,to border
2D;41;48,IV,1,to press
2D;42;42,I,20,to justify;to prove true
2D;42;42,IV,4,to justify;to establish
2D;42;42,X,2,to be guilty;to have right
2D;43;45,I,45,to judge
2D;43;45,II,2,to make judge
2D;43;45,IV,2,to perfect;to establish
2D;43;45,VI,1,to judge
2D;44;41,I,12,to swear
2D;44;42,I,1,to shave
2D;44;44,I,14,to descend;to be lawful
2D;44;44,IV,20,to make lawful
2D;44;4A,II,4,to adorn
2D;45;2F,I,1,to praise
2D;45;44,I,41,to carry;to bear
2D;45;44,II,5,to place;to entrust
2D;45;44,VIII,3,to carry;to bear
2D;45;4A,I,1,to heat
2D;46;2B,I,1,to break oath
2D;46;43,VIII,1,to destroy
2D;48;30,X,2,to overcome;to have advantage
2D;48;31,I,1,to return
2D;48;31,III,2,to talk
2D;48;37,IV,17,to surround;to encompass
2D;48;44,I,3,to come
2D;4A;2F,I,1,to avoid
2D;4A;36,I,1,to menstruate
2D;4A;41,I,1,to be unjust
2D;4A;42,I,10,to surround;to encompass;to envelope
2D;4A;4A,I,7,to live
2D;4A;4A,II,4,to greet
2D;4A;4A,IV,51,to give life
2D;4A;4A,X,9,to let live;to be shy;to be ashamed
2E;28;2A,IV,2,to be humble
2E;28;2B,I,1,to be bad
2E;28;37,V,1,to confound
2E;28;48,I,1,to subside
2E;2A;45,I,5,to seal
2E;2F;39,I,2,to deceive
2E;2F;39,III,2,to deceive
2E;30;44,I,1,to forsake
2E;31;28,IV,1,to destroy
2E;31;2C,I,53,to go out;to come out;to depart;to leave
2E;31;2C,IV,99,to bring forth;to drive out
2E;31;2C,X,4,to bring out
2E;31;31,I,12,to fall
2E;31;35,I,4,to guess;to lie
2E;31;42,I,4,to falsely attribute;to tear
2E;32;4A,I,1,to be disgraced
2E;32;4A,IV,12,to disgrace
2E;33;27,I,1,to be despised
2E;33;31,I,16,to lose
2E;33;31,IV,2,to give less;to make deficient
2E;33;41,I,8,to cause;to swallow
2E;34;39,I,2,to become humble
2E;34;4A,I,40,to fear
2E;35;35,VIII,2,to choose
2E;35;41,I,2,to fasten
2E;35;45,VIII,8,to dispute
2E;36;39,I,1,to be soft
2E;37;27,IV,2,to err;to make mistake
2E;37;28,III,3,to address
2E;37;37,I,1,to write
2E;37;41,I,3,to snatch
