key;value;pair
1;2,71;1,30,40
2;3,71;1,30,40
3;7,161;1,30,40,90
4;10,231;1,30,200
5;11,231;1,30,200
6;12,231;1,30,200
7;13,271;1,30,40,200
8;14,231;1,30,200
9;15,231;1,30,200
10;19,195;20,5,10,70,90
11;20,14;5,9
12;26,109;9,60,40
13;27,69;9,60
14;28,109;9,60,40
15;29,71;1,30,40
16;30,71;1,30,40
17;31,71;1,30,40
18;32,71;1,30,40
19;36,70;10,60
20;38,90;90
21;40,48;8,40
22;41,48;8,40
23;42,278;8,40,70,60,100
24;43,48;8,40
25;44,48;8,40
26;45,48;8,40
27;46,48;8,40
28;50,100;100
29;68,50;50
